,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
93,Armenia,439302,0,8669,0,425531,0,5102,0,147815,2917,3198646,1076273,2971966,Asia,0.0,0.0,0.0
94,Qatar,438499,790,682,0,432297,597,5520,1,147152,229,3910002,1312119,2979915,Asia,0.18016004597501933,0.0,0.13809950103748117
95,Oman,397993,0,4260,0,384669,0,9064,2,74755,800,25000000,4695724,5323993,Asia,0.0,0.0,0.0
96,Bosnia and Herzegovina,397602,135,16104,2,376094,11,5404,0,122365,4956,1852742,570194,3249317,Europe,0.03395355154149124,0.012419274714356682,0.0029248007147149382
97,North Macedonia,341889,141,9516,1,331679,84,694,0,164267,4572,2122827,1019950,2081304,Europe,0.04124145556013794,0.010508617065994114,0.025325691406450215
98,Kenya,338308,1,5675,0,332546,1,87,1,6018,101,3869762,68838,56215221,Africa,0.00029558863520815355,0.0,0.0003007102776758704
99,Zambia,333313,39,4017,0,329065,22,231,1,17119,206,3717804,190948,19470234,Africa,0.011700713743538356,0.0,0.006685609226140732
100,Albania,331295,104,3585,0,325193,176,2517,0,115580,1251,1941032,677173,2866374,Europe,0.031391961846692525,0.0,0.054121706186787535
101,Botswana,326127,0,2787,0,322955,0,385,1,133595,1142,2026898,830300,2441162,Africa,0.0,0.0,0.0
102,Luxembourg,288658,0,1123,0,283668,0,3867,0,449363,1748,4402293,6853194,642371,Europe,0.0,0.0,0.0
103,Montenegro,277812,169,2778,0,273958,160,1076,6,442411,4424,2609782,4156035,627950,Europe,0.06083250543533037,0.0,0.05840311288591682
104,Algeria,270570,19,6879,0,182211,17,81480,6,5966,152,230861,5091,45350148,Africa,0.0070222123664855675,0.0,0.009329842874469708
105,Nigeria,264617,0,3155,0,257880,0,3582,11,1221,15,5441162,25104,216746934,Africa,0.0,0.0,0.0
106,Zimbabwe,256939,0,5596,0,251102,0,241,12,16759,365,2496262,162820,15331428,Africa,0.0,0.0,0.0
107,Uzbekistan,243993,12,1637,0,241486,0,870,23,7097,48,1377915,40077,34382084,Asia,0.0049181738820376,0.0,0.0
108,Mozambique,230184,4,2221,0,227878,7,85,11,6956,67,1371127,41437,33089461,Africa,0.001737740242588538,0.0,0.00307181913128955
109,Brunei ,223059,0,225,0,219561,0,3273,0,500771,505,717784,1611437,445431,Asia,0.0,0.0,0.0
110,Martinique,220192,0,1042,0,0,0,0,8,588612,2785,828928,2215870,374087,North America,0.0,0.0,
111,Laos,215157,93,757,0,0,0,0,0,28760,101,1233207,164845,7481023,Asia,0.04322425019869212,0.0,
112,Kyrgyzstan,205920,0,2991,0,196406,0,6523,131,30605,445,1907195,283460,6728271,Asia,0.0,0.0,0.0
113,Iceland,205284,0,213,0,0,0,0,2,594349,617,1996384,5780036,345393,Europe,0.0,0.0,
114,El Salvador,201785,0,4228,0,179410,0,18147,8,30805,645,2610114,398467,6550389,North America,0.0,0.0,0.0
115,Afghanistan,196751,304,7792,1,175267,131,13692,1124,4828,191,1087022,26673,40754388,Asia,0.1545100151968732,0.012833675564681726,0.07474310623220573
116,Guadeloupe,191997,0,986,0,0,0,0,19,480240,2466,938039,2346306,399794,North America,0.0,0.0,
117,Maldives,184966,0,308,0,163687,0,20971,25,341906,569,2213831,4092223,540985,Asia,0.0,0.0,0.0
118,Trinidad and Tobago,181749,182,4180,4,172591,227,4978,18,129213,2972,830015,590092,1406585,North America,0.10013810254801953,0.09569377990430622,0.13152481879124636
119,Uganda,169396,0,3628,0,100431,0,65337,3,3498,75,3012408,62198,48432863,Africa,0.0,0.0,0.0
120,Namibia,169253,0,4065,0,164813,0,375,0,64260,1543,1062663,403460,2633874,Africa,0.0,0.0,0.0
121,Ghana,168616,0,1459,0,167123,0,34,2,5205,45,2498516,77126,32395450,Africa,0.0,0.0,0.0
122,Jamaica,150921,12,3288,2,97790,109,49843,0,50558,1101,1177911,394598,2985094,North America,0.00795117975629634,0.06082725060827251,0.1114633398097965
123,Cambodia,137739,4,3056,0,134621,12,62,0,8023,178,3058588,178150,17168639,Asia,0.0029040431540812697,0.0,0.008913913876735426
124,Rwanda,132478,3,1466,0,130901,0,111,0,9741,108,5788646,425621,13600464,Africa,0.0022645269403221667,0.0,0.0
125,Cameroon,121652,0,1935,0,118616,0,1101,13,4358,69,1751774,62762,27911548,Africa,0.0,0.0,0.0
126,Malta,114323,19,803,0,113002,15,518,4,257465,1808,2052814,4623111,444033,Europe,0.016619577862722286,0.0,0.013274101343339057
127,Angola,103131,0,1917,0,101155,0,59,0,2944,55,1499795,42818,35027343,Africa,0.0,0.0,0.0
128,Barbados,102025,46,559,1,101072,72,394,0,354225,1941,760736,2641234,288023,North America,0.04508698848321489,0.17889087656529518,0.07123634636694633
129,French Guiana,93837,0,409,0,11254,0,82174,3,298683,1302,651257,2072951,314169,South America,0.0,0.0,0.0
130,DRC,92751,0,1422,0,83504,0,7825,0,974,15,846704,8890,95240792,Africa,0.0,0.0,0.0
131,Channel Islands,90262,0,199,0,89633,0,430,0,511507,1128,1252808,7099551,176463,Europe,0.0,0.0,0.0
132,Senegal,88230,6,1968,0,86137,13,125,0,4998,111,1146543,64946,17653671,Africa,0.00680040802448147,0.0,0.015092236785585755
133,Malawi,87946,3,2680,0,84797,0,469,67,4358,133,613391,30395,20180839,Africa,0.0034111841357196463,0.0,0.0
134,Ivory Coast,86941,0,822,0,86091,0,28,0,3134,30,1618845,58353,27742298,Africa,0.0,0.0,0.0
135,Suriname,81078,0,1384,0,49620,0,30074,0,135848,2319,239051,400534,596831,South America,0.0,0.0,0.0
136,French Polynesia,76560,0,649,0,0,0,0,7,269422,2284,0,0,284164,Australia/Oceania,0.0,0.0,
137,New Caledonia,74086,0,314,0,73639,0,133,9,254665,1079,98964,340182,290915,Australia/Oceania,0.0,0.0,0.0
138,Eswatini,73374,0,1422,0,71945,0,7,11,61929,1200,1044452,881530,1184817,Africa,0.0,0.0,0.0
139,Guyana,71222,13,1280,1,69812,42,130,0,89695,1612,691921,871388,794045,South America,0.018252787060178036,0.078125,0.06016157680627972
140,Belize,68612,0,680,0,67796,0,136,6,166457,1650,576016,1397453,412190,North America,0.0,0.0,0.0
141,Fiji,68207,0,878,0,66257,0,1072,0,74997,965,659796,725476,909466,Australia/Oceania,0.0,0.0,0.0
142,Madagascar,66652,0,1410,0,65216,0,26,2,2284,48,511408,17527,29178077,Africa,0.0,0.0,0.0
143,Sudan,63275,0,4961,0,57200,0,1114,0,1376,108,562941,12240,45992020,Africa,0.0,0.0,0.0
144,Mauritania,62778,0,993,0,61774,3,11,0,12807,203,960609,195963,4901981,Africa,0.0,0.0,0.004856412082753262
145,Cabo Verde,62350,4,410,0,61868,1,72,23,109833,722,401622,707482,567678,Africa,0.006415396952686448,0.0,0.0016163444753345834
146,Bhutan,61419,0,21,0,61313,0,85,0,77949,27,2303734,2923739,787941,Asia,0.0,0.0,0.0
147,Syria,57197,8,3163,0,53935,20,99,0,2954,163,146269,7553,19364809,Asia,0.013986747556690037,0.0,0.03708167238342449
148,Burundi,49370,0,38,0,48578,0,754,0,3911,3,345742,27386,12624840,Africa,0.0,0.0,0.0
149,Gabon,48668,0,306,0,48235,0,127,0,20874,131,1615102,692721,2331533,Africa,0.0,0.0,0.0
150,Seychelles,46358,0,169,0,45977,0,212,0,466256,1700,0,0,99426,Africa,0.0,0.0,0.0
151,Andorra,46147,34,155,0,45938,48,54,14,595730,2001,249838,3225256,77463,Europe,0.07367759551000065,0.0,0.10448865862684488
152,Curaçao,45127,0,282,0,44720,0,125,3,272623,1704,496693,3000640,165529,North America,0.0,0.0,0.0
153,Papua New Guinea,44922,7,664,0,43982,0,276,7,4834,71,249149,26813,9292169,Australia/Oceania,0.01558256533547037,0.0,0.0
154,Aruba,42914,0,227,0,42438,0,249,2,398796,2109,177885,1653068,107609,North America,0.0,0.0,0.0
155,Mauritius,40342,0,1023,0,38669,0,650,0,31648,803,358675,281374,1274727,Africa,0.0,0.0,0.0
156,Mayotte,40161,0,187,0,0,0,0,0,140296,653,176919,618038,286259,Africa,0.0,0.0,
157,Tanzania,39253,85,845,0,0,0,0,7,620,13,0,0,63298550,Africa,0.21654395842356,0.0,
158,Togo,38678,21,284,0,38194,8,200,0,4456,33,789186,90911,8680837,Africa,0.05429443094265474,0.0,0.020945698277216318
159,Isle of Man,38008,0,116,0,0,0,0,0,443335,1353,150753,1758422,85732,Europe,0.0,0.0,
160,Guinea,37652,0,449,0,36880,0,323,8,2715,32,660107,47607,13865691,Africa,0.0,0.0,0.0
161,Bahamas,37156,0,823,0,35988,0,345,1,92770,2055,248846,621314,400516,North America,0.0,0.0,0.0
162,Faeroe Islands,34658,0,28,0,0,0,0,5,703959,569,778000,15802409,49233,Europe,0.0,0.0,
163,Lesotho,34287,0,704,0,25811,0,7772,0,15759,324,431221,198199,2175699,Africa,0.0,0.0,0.0
164,Haiti,33702,0,857,0,31233,0,1612,0,2885,73,132422,11337,11680283,North America,0.0,0.0,0.0
165,Mali,32385,55,739,0,30889,47,757,0,1508,34,751420,34992,21473764,Africa,0.16983171221244403,0.0,0.15215772605134514
166,Cayman Islands,30380,0,29,0,8553,0,21798,1,451566,431,222773,3311280,67277,North America,0.0,0.0,0.0
167,Saint Lucia,28894,0,391,0,28369,0,134,0,156088,2112,209716,1132908,185113,North America,0.0,0.0,0.0
168,Benin,27638,148,163,0,27322,105,153,5,2162,13,604310,47268,12784726,Africa,0.5354946088718431,0.0,0.38430568772417834
169,Somalia,27197,177,1352,2,13182,0,12663,0,1615,80,400466,23778,16841795,Africa,0.6508070743096666,0.14792899408284024,0.0
170,Congo,24837,0,386,0,24006,0,445,0,4284,67,347815,59991,5797805,Africa,0.0,0.0,0.0
171,Timor-Leste,23217,0,138,0,23035,0,44,0,16954,101,275776,201380,1369429,Asia,0.0,0.0,0.0
172,Solomon Islands,21544,0,153,0,16357,0,5034,1,29874,212,5117,7096,721159,Australia/Oceania,0.0,0.0,0.0
173,Burkina Faso,21128,0,387,0,20632,0,109,0,956,18,248995,11265,22102838,Africa,0.0,0.0,0.0
174,San Marino,20540,7,118,0,20340,7,82,4,602611,3462,157634,4624732,34085,Europe,0.034079844206426485,0.0,0.03441494591937069
175,Gibraltar,20069,0,108,0,16579,0,3382,0,595449,3204,534283,15852213,33704,Europe,0.0,0.0,0.0
176,Grenada,19473,0,236,0,19142,0,95,4,171606,2080,179054,1577916,113475,North America,0.0,0.0,0.0
177,Liechtenstein,19385,36,86,0,19177,29,122,1,504989,2240,102174,2661682,38387,Europe,0.18571060098013928,0.0,0.15122281900192938
178,Nicaragua,18491,0,225,0,4225,0,14041,0,2728,33,0,0,6779100,North America,0.0,0.0,0.0
179,Bermuda,18077,58,148,0,17860,111,69,0,291852,2389,1000375,16150971,61939,North America,0.32084969851192124,0.0,0.6215005599104143
180,South Sudan,17823,0,138,0,17335,0,350,1,1534,12,410280,35313,11618511,Africa,0.0,0.0,0.0
181,Tajikistan,17786,0,125,0,17264,0,397,0,1786,13,0,0,9957464,Asia,0.0,0.0,0.0
182,Equatorial Guinea,16990,20,183,0,16660,4,147,5,11352,122,365697,244342,1496662,Africa,0.11771630370806356,0.0,0.024009603841536616
183,Tonga,16182,0,12,0,15638,0,532,0,150182,111,535009,4965327,107749,Australia/Oceania,0.0,0.0,0.0
184,Samoa,15889,0,29,0,1605,0,14255,4,78565,143,187397,926612,202239,Australia/Oceania,0.0,0.0,0.0
185,Djibouti,15690,0,189,0,15427,0,74,0,15441,186,305941,301094,1016097,Africa,0.0,0.0,0.0
186,Marshall Islands,15180,3,17,0,15112,100,51,22,252760,283,0,0,60057,Australia/Oceania,0.019762845849802372,0.0,0.6617257808364214
187,CAR,14904,21,113,0,14520,0,271,2,2971,23,81294,16205,5016678,Africa,0.14090177133655393,0.0,0.0
188,Dominica,14852,0,68,0,14554,0,230,0,205297,940,210195,2905493,72344,North America,0.0,0.0,0.0
189,Monaco,14451,0,57,0,14353,0,41,4,363246,1433,77770,1954855,39783,Europe,0.0,0.0,0.0
190,Gambia,12508,0,372,0,12028,0,108,0,4889,145,155686,60851,2558482,Africa,0.0,0.0,0.0
191,Greenland,11971,0,21,0,2761,0,9189,4,210117,369,164926,2894810,56973,North America,0.0,0.0,0.0
192,Saint Martin,11941,0,63,0,1399,0,10479,7,300554,1586,112382,2828643,39730,North America,0.0,0.0,0.0
193,Yemen,11932,0,2155,0,9119,0,658,23,383,69,329592,10579,31154867,Asia,0.0,0.0,0.0
194,Vanuatu,11929,8,14,0,11878,46,37,0,37066,44,24976,77606,321832,Australia/Oceania,0.0670634587978875,0.0,0.3872705842734467
195,Caribbean Netherlands,11200,24,36,0,10476,0,688,0,420310,1351,30126,1130559,26647,North America,0.2142857142857143,0.0,0.0
196,Sint Maarten,10855,0,87,0,10762,0,6,10,246895,1979,62056,1411454,43966,North America,0.0,0.0,0.0
197,Eritrea,10164,1,103,0,10056,2,5,0,2775,28,23693,6470,3662244,Africa,0.009838646202282565,0.0,0.01988862370723946
198,Niger,9931,0,312,0,8890,0,729,1,381,12,254538,9759,26083660,Africa,0.0,0.0,0.0
199,Antigua and Barbuda,9008,34,145,0,8830,36,33,1,90524,1457,18901,189943,99509,North America,0.3774422735346359,0.0,0.40770101925254815
200,Guinea-Bissau,8796,0,175,0,8301,0,320,6,4263,85,145231,70385,2063367,Africa,0.0,0.0,0.0
201,Comoros,8467,12,161,0,8302,21,4,0,9331,177,0,0,907419,Africa,0.14172670367308374,0.0,0.25295109612141653
202,Liberia,7929,0,294,0,7544,0,91,2,1495,55,139824,26356,5305117,Africa,0.0,0.0,0.0
203,Micronesia,7856,0,27,0,147,0,7682,1,66866,230,21923,186596,117489,Australia/Oceania,0.0,0.0,0.0
204,Sierra Leone,7750,1,126,0,0,0,0,0,933,15,259958,31296,8306436,Africa,0.012903225806451613,0.0,
205,Chad,7560,0,193,0,4874,0,2493,0,434,11,191341,10988,17413580,Africa,0.0,0.0,0.0
206,British Virgin Islands,7305,0,64,0,0,0,0,0,238757,2092,107339,3508269,30596,North America,0.0,0.0,
207,St. Vincent Grenadines,7112,0,115,0,6641,0,356,0,63756,1031,100856,904125,111551,North America,0.0,0.0,0.0
208,Saint Kitts and Nevis,6532,0,46,0,6470,0,16,0,121253,854,124861,2317778,53871,North America,0.0,0.0,0.0
209,Cook Islands,6389,1,1,0,6384,1,4,0,363610,57,19690,1120596,17571,Australia/Oceania,0.015651901706057285,0.0,0.015664160401002505
210,Turks and Caicos,6380,8,36,0,6321,27,23,4,160539,906,550093,13841952,39741,North America,0.12539184952978058,0.0,0.42714760322733747
211,Sao Tome and Principe,6193,0,76,0,6101,0,16,0,27201,334,29036,127530,227679,Africa,0.0,0.0,0.0
212,Palau,5430,0,6,0,5401,0,23,1,297812,329,64681,3547469,18233,Australia/Oceania,0.0,0.0,0.0
