,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
38,Romania,2886284,1063,65403,19,2606660,0,214221,229,151856,3441,22554522,1186657,19006772,Europe,0.03682936259910667,0.029050655168723148,0.0
39,Sweden,2498388,0,18656,0,2461823,2467,17909,19,244638,1827,18493218,1810824,10212599,Europe,0.0,0.0,0.10021029131663813
40,Iraq,2323878,171,25201,0,2295073,508,3604,24,55534,602,18443454,440745,41846122,Asia,0.007358389726138808,0.0,0.022134372196439937
41,Serbia,1999753,977,15945,5,1964782,989,19026,26,230545,1838,9415165,1085442,8674039,Europe,0.04885603372016444,0.03135779241141424,0.050336373195601344
42,Bangladesh,1952485,45,29127,0,1892443,371,30915,1283,11647,174,13947427,83198,167642133,Asia,0.0023047552221912076,0.0,0.019604289270535494
43,Hungary,1888906,3041,46024,24,1770066,6155,72816,48,196429,4786,11285527,1173594,9616208,Europe,0.1609926592429692,0.052146706066400136,0.34772714689734735
44,Slovakia,1770460,2415,19803,13,1721905,4363,28752,109,323999,3624,7041022,1288526,5464401,Europe,0.13640522801983665,0.06564661919911124,0.2533821552292374
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163134,1353,16670254,1605160,10385419,Asia,0.0,0.0,0.0
46,Georgia,1653915,223,16794,0,1634990,399,2131,0,416039,4224,16774959,4219705,3975387,Asia,0.013483159654516708,0.0,0.024403818983602346
47,Pakistan,1527589,103,30368,0,1493870,74,3351,205,6682,133,27987766,122426,228608810,Asia,0.006742651328335044,0.0,0.0049535769511403266
48,Ireland,1508373,1410,6993,12,1390904,7691,110476,37,299456,1388,12009921,2384319,5037045,Europe,0.09347820466157906,0.1716001716001716,0.5529497362866165
49,Norway,1422583,892,2871,0,0,0,0,20,258768,522,11002430,2001340,5497531,Europe,0.06270284405198151,0.0,
50,Kazakhstan,1305431,14,13660,0,1290945,41,826,24,68059,712,11575012,603466,19180876,Asia,0.001072442741133005,0.0,0.0031759679924396465
51,Hong Kong,1200334,628,9212,26,0,0,0,115,157805,1211,44972952,5912481,7606443,Asia,0.052318771275328364,0.2822405557967868,
52,Singapore,1174390,3420,1322,3,1102269,0,70799,6,197937,223,23712995,3996698,5933147,Asia,0.2912150137518201,0.22692889561270801,0.0
53,Morocco,1164567,60,16064,0,1148002,91,501,293,30892,426,11237010,298081,37697852,Africa,0.005152129503927211,0.0,0.007926815458509654
54,Bulgaria,1152251,631,36838,11,959289,1455,156124,111,168106,5374,9788010,1428004,6854328,Europe,0.05476237382306459,0.029860470166675715,0.15167483417406016
55,Croatia,1115442,1301,15765,8,1095334,573,4343,23,274759,3883,4754410,1171120,4059712,Europe,0.11663537862121026,0.0507453219156359,0.05231281052172214
56,Cuba,1100938,329,8522,0,1090977,326,1439,23,97306,753,12920253,1141953,11314174,North America,0.029883608341250825,0.0,0.02988147321162591
57,Lebanon,1096099,140,10370,2,1078634,408,7095,186,161895,1532,4795578,708311,6770443,Asia,0.012772568901166773,0.019286403085824494,0.037825620182564246
58,Lithuania,1052417,1149,9042,7,1013075,1863,30300,41,396546,3407,8201785,3090399,2653957,Europe,0.10917725578359148,0.07741650077416501,0.1838955654813316
59,Tunisia,1039532,0,28533,0,0,0,0,29,86331,2370,4563397,378983,12041170,Africa,0.0,0.0,
60,Slovenia,1001713,1253,6568,1,976741,2126,18404,29,481720,3159,2637740,1268478,2079452,Europe,0.125085728147683,0.01522533495736906,0.21766261475662432
61,Finland,1000472,50889,3638,121,46000,0,950834,31,180064,655,10644579,1915799,5556210,Europe,5.086499172390631,3.3260032985156682,0.0
62,Nepal,978705,12,11951,0,966456,32,298,0,32537,397,5607784,186431,30079674,Asia,0.0012261100127208915,0.0,0.0033110664117145527
63,Belarus,976261,695,6917,3,928536,0,40808,0,103377,732,13071640,1384161,9443729,Europe,0.07118997890932854,0.04337140378776926,0.0
64,Bolivia,904212,86,21906,1,854077,566,28229,220,75606,1832,2693845,225246,11959546,South America,0.009511043870242819,0.0045649593718615905,0.06627037140679354
65,UAE,896372,231,2302,0,878658,217,15412,0,88702,228,153603788,15200106,10105442,Asia,0.025770550619608826,0.0,0.024696753458114538
66,Uruguay,895775,0,7197,0,886654,0,1924,18,256273,2059,6091188,1742632,3495396,South America,0.0,0.0,0.0
67,Ecuador,866925,0,35528,0,0,0,0,759,47830,1960,2470170,136284,18125117,South America,0.0,0.0,
